source,target,percentage
vobile inc,divxstage.to,26.03650153
vobile inc,estream.to,0.00028002
vobile inc,gorillavid.com,0.532784577
vobile inc,gorillavid.in,6.22266E-05
vobile inc,movpod.in,31.06718394
vobile inc,movpod.net,29.13703771
vobile inc,movshare.net,0
vobile inc,novamov.com,0.005133699
vobile inc,nowvideo.sx,0.00102674
vobile inc,openload.co,0.536611516
vobile inc,speedvid.net,7.569498612
vobile inc,streamango.com,0.000497813
vobile inc,streamin.to,0.003329126
vobile inc,streamplay.to,0.58297037
vobile inc,thevideobee.to,3.11133E-05
vobile inc,thevideo.me,0.02442396
vobile inc,veehd.com,1.46630878
vobile inc,veoh.com,0.000964513
vobile inc,vidlox.tv,0.001368986
vobile inc,vidtodo.com,0.000684493
vobile inc,vidto.me,0.088455183
vobile inc,vidup.me,1.072756333
vobile inc,vidzi.tv,0.081983611
vobile inc,watchers.to,1.574427585
walt disney company,auroravid.to,0.036874253
walt disney company,bitvid.sx,0.001189492
walt disney company,cloudtime.to,0.001784238
walt disney company,daclips.com,0.001189492
walt disney company,daclips.in,0
walt disney company,divxstage.to,0.129654631
walt disney company,estream.to,0
walt disney company,gorillavid.com,4.78175795
walt disney company,gorillavid.in,0
walt disney company,movpod.in,3.962792689
walt disney company,movpod.net,0.084453934
walt disney company,movshare.net,0
walt disney company,novamov.com,0
walt disney company,nowvideo.sx,0.001784238
walt disney company,openload.co,0.121922933
walt disney company,speedvid.net,1.849065357
walt disney company,streamango.com,0.001189492
walt disney company,streamin.to,1.238261201
walt disney company,streamplay.to,7.301102064
walt disney company,thevideobee.to,0.00297373
walt disney company,thevideo.me,0.735700819
walt disney company,veehd.com,40.85667216
walt disney company,veoh.com,0.014273904
walt disney company,vidlox.tv,0.003568476
walt disney company,vidtodo.com,0.025574079
walt disney company,vidto.me,3.046883828
walt disney company,vidup.me,13.15578182
walt disney company,vidzi.tv,0.975383462
walt disney company,watchers.to,21.67016576
